epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
173,80825.4,0.8758,0.45371,1.00895,0.9531,0.88366,0.94248,0.68109,1.06278,0.44893,1.11734,0.004324,0.004324,0.004324
174,81301.5,0.87058,0.44705,1.00651,0.95296,0.88361,0.94241,0.68091,1.06297,0.44862,1.11774,0.004291,0.004291,0.004291
175,81778.7,0.87094,0.44831,1.00346,0.94819,0.88847,0.94218,0.68082,1.06244,0.44822,1.11767,0.004258,0.004258,0.004258
176,82257.2,0.86959,0.4476,1.00433,0.94895,0.88897,0.94232,0.68105,1.06228,0.44821,1.11783,0.004225,0.004225,0.004225
177,82677.4,0.86191,0.44483,1.00322,0.95109,0.8865,0.94218,0.68132,1.06215,0.44821,1.11803,0.004192,0.004192,0.004192
178,83154.1,0.8635,0.44482,1.00342,0.95234,0.88597,0.94224,0.68156,1.06236,0.44835,1.11841,0.004159,0.004159,0.004159
179,83628.7,0.86681,0.44721,1.00275,0.95371,0.88452,0.94191,0.68167,1.06218,0.44795,1.11866,0.004126,0.004126,0.004126
180,84107.9,0.86053,0.44508,1.00026,0.95451,0.8849,0.94216,0.68185,1.062,0.44805,1.11869,0.004093,0.004093,0.004093
181,84584.9,0.86098,0.44305,0.99926,0.95504,0.88469,0.94163,0.68175,1.06174,0.44793,1.11876,0.00406,0.00406,0.00406
182,85062.1,0.8574,0.44342,0.99736,0.95555,0.88466,0.94153,0.68175,1.06198,0.44808,1.11907,0.004027,0.004027,0.004027
183,85467.4,0.86006,0.44224,1.00084,0.95618,0.88479,0.94172,0.68181,1.06205,0.44801,1.11921,0.003994,0.003994,0.003994
